BenchmarkTailCall-32                                 	  169232	      3718 ns/op	     120 B/op	       3 allocs/op
BenchmarkTailCall-32                                 	  168916	      3581 ns/op	     120 B/op	       3 allocs/op
BenchmarkTailCall-32                                 	  169918	      3638 ns/op	     120 B/op	       3 allocs/op
BenchmarkMultiReturn-32                              	   69951	      9021 ns/op	      64 B/op	       1 allocs/op
BenchmarkMultiReturn-32                              	   65888	      8632 ns/op	      64 B/op	       1 allocs/op
BenchmarkMultiReturn-32                              	   68668	      8571 ns/op	      64 B/op	       1 allocs/op
BenchmarkVararg-32                                   	   25408	     22789 ns/op	   32864 B/op	     151 allocs/op
BenchmarkVararg-32                                   	   25963	     22853 ns/op	   32864 B/op	     151 allocs/op
BenchmarkVararg-32                                   	   26467	     23428 ns/op	   32864 B/op	     151 allocs/op
BenchmarkValidation_SimpleRecord-32                  	11835849	        48.12 ns/op	      16 B/op	       1 allocs/op
BenchmarkValidation_SimpleRecord-32                  	12282338	        47.77 ns/op	      16 B/op	       1 allocs/op
BenchmarkValidation_SimpleRecord-32                  	11872534	        47.66 ns/op	      16 B/op	       1 allocs/op
BenchmarkValidation_NestedRecord-32                  	 7428630	        80.92 ns/op	      48 B/op	       2 allocs/op
BenchmarkValidation_NestedRecord-32                  	 7129844	        79.85 ns/op	      48 B/op	       2 allocs/op
BenchmarkValidation_NestedRecord-32                  	 7329369	        79.21 ns/op	      48 B/op	       2 allocs/op
BenchmarkValidation_LargeArray-32                    	  256557	      2198 ns/op	     408 B/op	     101 allocs/op
BenchmarkValidation_LargeArray-32                    	  247237	      2257 ns/op	     408 B/op	     101 allocs/op
BenchmarkValidation_LargeArray-32                    	  248575	      2249 ns/op	     408 B/op	     101 allocs/op
BenchmarkRegistryPush-32                             	57041702	         9.503 ns/op	       8 B/op	       1 allocs/op
BenchmarkRegistryPush-32                             	55387939	         9.569 ns/op	       8 B/op	       1 allocs/op
BenchmarkRegistryPush-32                             	57601872	         9.467 ns/op	       8 B/op	       1 allocs/op
BenchmarkRegistrySetNumber-32                        	53000616	         9.566 ns/op	       7 B/op	       0 allocs/op
BenchmarkRegistrySetNumber-32                        	55385480	         9.695 ns/op	       7 B/op	       0 allocs/op
BenchmarkRegistrySetNumber-32                        	53965413	         9.726 ns/op	       8 B/op	       0 allocs/op
BenchmarkCallFrameStackPushPopAutoGrow-32            	  377943	      1637 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallFrameStackPushPopAutoGrow-32            	  352203	      1637 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallFrameStackPushPopAutoGrow-32            	  372328	      1695 ns/op	       0 B/op	       0 allocs/op
