BenchmarkVMStringConcat-32          	   70659	      8585 ns/op	    7315 B/op	     200 allocs/op
BenchmarkVMStringConcat-32          	   70144	      8590 ns/op	    7315 B/op	     200 allocs/op
BenchmarkStringTableConcat-32       	  114198	      5188 ns/op	    4211 B/op	       6 allocs/op
BenchmarkStringTableConcat-32       	  113050	      5003 ns/op	    4211 B/op	       6 allocs/op
BenchmarkStringTableConcat-32       	  114784	      4986 ns/op	    4211 B/op	       6 allocs/op
BenchmarkArithMixed-32              	    5845	     97093 ns/op	   29784 B/op	      58 allocs/op
BenchmarkArithMixed-32              	    5494	     96257 ns/op	   29784 B/op	      58 allocs/op
BenchmarkArithMixed-32              	    5437	     96234 ns/op	   29784 B/op	      58 allocs/op
BenchmarkArithIntOnly-32            	    6354	     93910 ns/op	   23600 B/op	      46 allocs/op
BenchmarkArithIntOnly-32            	    5880	     94639 ns/op	   23600 B/op	      46 allocs/op
BenchmarkArithIntOnly-32            	    5862	     92370 ns/op	   23600 B/op	      46 allocs/op
BenchmarkVMFunctionCall-32          	   10000	     56046 ns/op	    5112 B/op	       9 allocs/op
BenchmarkVMFunctionCall-32          	   10000	     54529 ns/op	    5112 B/op	       9 allocs/op
BenchmarkVMFunctionCall-32          	   10000	     58618 ns/op	    5112 B/op	       9 allocs/op
BenchmarkLocalAccess-32             	   12132	     49400 ns/op	   23960 B/op	      46 allocs/op
BenchmarkLocalAccess-32             	   12306	     48882 ns/op	   23960 B/op	      46 allocs/op
BenchmarkLocalAccess-32             	   12169	     48884 ns/op	   23960 B/op	      46 allocs/op
BenchmarkUpvalueAccess-32           	   10000	     58880 ns/op	     120 B/op	       3 allocs/op
BenchmarkUpvalueAccess-32           	   10000	     62976 ns/op	     120 B/op	       3 allocs/op
BenchmarkUpvalueAccess-32           	    9938	     65584 ns/op	     120 B/op	       3 allocs/op
BenchmarkComparison-32              	   21256	     31484 ns/op	       0 B/op	       0 allocs/op
BenchmarkComparison-32              	   21946	     28488 ns/op	       0 B/op	       0 allocs/op
BenchmarkComparison-32              	   20202	     29843 ns/op	       0 B/op	       0 allocs/op
BenchmarkVMGlobalAccess-32          	   13012	     45053 ns/op	    7960 B/op	      15 allocs/op
