BenchmarkComparison-32              	   22416	     27154 ns/op	       0 B/op	       0 allocs/op
BenchmarkComparison-32              	   22584	     26404 ns/op	       0 B/op	       0 allocs/op
BenchmarkComparison-32              	   22558	     26476 ns/op	       0 B/op	       0 allocs/op
BenchmarkVMGlobalAccess-32          	   12394	     48929 ns/op	    7958 B/op	     994 allocs/op
BenchmarkVMGlobalAccess-32          	   12378	     52179 ns/op	    7958 B/op	     994 allocs/op
BenchmarkVMGlobalAccess-32          	   12298	     50151 ns/op	    7957 B/op	     994 allocs/op
BenchmarkVMGlobalAccess-32          	   12289	     49347 ns/op	    7957 B/op	     994 allocs/op
BenchmarkVMGlobalAccess-32          	   12376	     51181 ns/op	    7958 B/op	     994 allocs/op
BenchmarkForNumeric-32              	    4410	    134142 ns/op	       0 B/op	       0 allocs/op
BenchmarkForNumeric-32              	    4390	    141682 ns/op	       0 B/op	       0 allocs/op
BenchmarkForNumeric-32              	    4610	    131270 ns/op	       0 B/op	       0 allocs/op
BenchmarkForNumeric-32              	    4520	    131043 ns/op	       0 B/op	       0 allocs/op
BenchmarkForNumeric-32              	    4555	    132900 ns/op	       0 B/op	       0 allocs/op
BenchmarkForPairs-32                	   68440	      8332 ns/op	       0 B/op	       0 allocs/op
BenchmarkForPairs-32                	   70992	      8470 ns/op	       0 B/op	       0 allocs/op
BenchmarkForPairs-32                	   70699	      8621 ns/op	       0 B/op	       0 allocs/op
BenchmarkForPairs-32                	   70836	      8450 ns/op	       0 B/op	       0 allocs/op
BenchmarkForPairs-32                	   72195	      8711 ns/op	       0 B/op	       0 allocs/op
BenchmarkForIPairs-32               	  113251	      5082 ns/op	       0 B/op	       0 allocs/op
BenchmarkForIPairs-32               	  110300	      5368 ns/op	       0 B/op	       0 allocs/op
BenchmarkForIPairs-32               	  118440	      5243 ns/op	       0 B/op	       0 allocs/op
BenchmarkForIPairs-32               	  118735	      5122 ns/op	       0 B/op	       0 allocs/op
BenchmarkForIPairs-32               	  113084	      5240 ns/op	       0 B/op	       0 allocs/op
