BenchmarkComparison-32              	   22610	     26571 ns/op	       0 B/op	       0 allocs/op
BenchmarkComparison-32              	   22758	     26281 ns/op	       0 B/op	       0 allocs/op
BenchmarkComparison-32              	   22902	     26380 ns/op	       0 B/op	       0 allocs/op
BenchmarkVMGlobalAccess-32          	   12298	     48364 ns/op	    7957 B/op	     994 allocs/op
BenchmarkVMGlobalAccess-32          	   12393	     48192 ns/op	    7958 B/op	     994 allocs/op
BenchmarkVMGlobalAccess-32          	   12327	     48630 ns/op	    7957 B/op	     994 allocs/op
BenchmarkVMGlobalAccess-32          	   12001	     48075 ns/op	    7956 B/op	     994 allocs/op
BenchmarkVMGlobalAccess-32          	   12327	     47796 ns/op	    7957 B/op	     994 allocs/op
BenchmarkForNumeric-32              	    4598	    130417 ns/op	       0 B/op	       0 allocs/op
BenchmarkForNumeric-32              	    4310	    131605 ns/op	       0 B/op	       0 allocs/op
BenchmarkForNumeric-32              	    4477	    130603 ns/op	       0 B/op	       0 allocs/op
BenchmarkForNumeric-32              	    4621	    131127 ns/op	       0 B/op	       0 allocs/op
BenchmarkForNumeric-32              	    4614	    130375 ns/op	       0 B/op	       0 allocs/op
BenchmarkForPairs-32                	   71341	      8572 ns/op	       0 B/op	       0 allocs/op
BenchmarkForPairs-32                	   68188	      8598 ns/op	       0 B/op	       0 allocs/op
BenchmarkForPairs-32                	   69417	      8487 ns/op	       0 B/op	       0 allocs/op
BenchmarkForPairs-32                	   69862	      8537 ns/op	       0 B/op	       0 allocs/op
BenchmarkForPairs-32                	   71161	      8413 ns/op	       0 B/op	       0 allocs/op
BenchmarkForIPairs-32               	  114271	      5193 ns/op	       0 B/op	       0 allocs/op
BenchmarkForIPairs-32               	  117976	      5191 ns/op	       0 B/op	       0 allocs/op
BenchmarkForIPairs-32               	  116673	      5187 ns/op	       0 B/op	       0 allocs/op
BenchmarkForIPairs-32               	  114936	      5166 ns/op	       0 B/op	       0 allocs/op
BenchmarkForIPairs-32               	  116640	      5309 ns/op	       0 B/op	       0 allocs/op
