BenchmarkComparison-32              	   22573	     26756 ns/op	       0 B/op	       0 allocs/op
BenchmarkComparison-32              	   22579	     26842 ns/op	       0 B/op	       0 allocs/op
BenchmarkComparison-32              	   22393	     26859 ns/op	       0 B/op	       0 allocs/op
BenchmarkVMGlobalAccess-32          	   12432	     48165 ns/op	    7958 B/op	     994 allocs/op
BenchmarkVMGlobalAccess-32          	   12255	     47969 ns/op	    7957 B/op	     994 allocs/op
BenchmarkVMGlobalAccess-32          	   12178	     47929 ns/op	    7957 B/op	     994 allocs/op
BenchmarkVMGlobalAccess-32          	   12384	     47990 ns/op	    7958 B/op	     994 allocs/op
BenchmarkVMGlobalAccess-32          	   12357	     48635 ns/op	    7957 B/op	     994 allocs/op
BenchmarkForNumeric-32              	    4478	    127589 ns/op	       0 B/op	       0 allocs/op
BenchmarkForNumeric-32              	    4564	    129784 ns/op	       0 B/op	       0 allocs/op
BenchmarkForNumeric-32              	    4412	    128938 ns/op	       0 B/op	       0 allocs/op
BenchmarkForNumeric-32              	    4644	    130164 ns/op	       0 B/op	       0 allocs/op
BenchmarkForNumeric-32              	    4646	    136038 ns/op	       0 B/op	       0 allocs/op
BenchmarkForPairs-32                	   70987	      8783 ns/op	       0 B/op	       0 allocs/op
BenchmarkForPairs-32                	   69757	      8398 ns/op	       0 B/op	       0 allocs/op
BenchmarkForPairs-32                	   70437	      8505 ns/op	       0 B/op	       0 allocs/op
BenchmarkForPairs-32                	   71505	      8553 ns/op	       0 B/op	       0 allocs/op
BenchmarkForPairs-32                	   71151	      8494 ns/op	       0 B/op	       0 allocs/op
BenchmarkForIPairs-32               	  117957	      5150 ns/op	       0 B/op	       0 allocs/op
BenchmarkForIPairs-32               	  119442	      5107 ns/op	       0 B/op	       0 allocs/op
BenchmarkForIPairs-32               	  120224	      5156 ns/op	       0 B/op	       0 allocs/op
BenchmarkForIPairs-32               	  118503	      5092 ns/op	       0 B/op	       0 allocs/op
BenchmarkForIPairs-32               	  119884	      5102 ns/op	       0 B/op	       0 allocs/op
